Temperature;Kinetic energy;Potential energy;Total energy
300.0000000000003;7483.013879031484;19322.46781818515;26805.481697216634
0.0;7635.758858603883;19169.419170661466;26805.17802926535
306.1236681653266;8089.154371484368;18715.122275053396;26804.276646537764
324.3006562162629;8828.835467878383;17973.9706397062;26802.806107584584
353.9550618481986;9831.366799367797;16969.446204186585;26800.81300355438
394.14734323492667;11064.985122067374;15733.375359970614;26798.360482037988
443.6040865729162;12490.605652896193;14304.920593496983;26795.526246393176
500.75835170759484;14063.060394452443;12729.3396993913;26792.400093843742
563.7993175661176;15732.529194588784;11056.551875797632;26789.081070386415
630.7296544781382;17446.118200542875;9339.5561322484;26785.674332791277
699.428805661961;19149.53569716072;7632.752119724587;26782.28781688531
767.7201729167142;20788.812233644647;5990.216584152092;26779.028817796738
833.4400778768302;22312.010540041218;4463.990050497583;26776.000590538802
894.5063139290496;23670.87105800092;3102.4280205521445;26773.299078553064
948.9841168541825;24822.340950527036;1948.6689234581534;26771.00987398519
995.1474640485278;25729.938146824832;1039.2673589771168;26769.20550580195
1031.533760170777;26364.90720536618;403.0359365157193;26767.9431418819
1056.9901766149837;26707.13037378576;60.13240396334478;26767.262777749103
1070.7101766290905;26745.76498050879;21.420988888993076;26767.185969397782
1072.2590688541052;26479.586963617156;288.12818674408027;26767.715150361237
1061.5877796705784;25917.029652809324;851.8039017540706;26768.833554563396
1039.0344079983354;25075.916575907922;1694.5891716709382;26770.50574757886
1005.3135132960687;23982.896755162987;2789.7819940540385;26772.678749217026
961.4934761393394;22672.600385185877;4102.683326972942;26775.28371215882
908.9626486749368;21186.541643029643;5591.696460270164;26778.238103299806
849.3853674011284;19571.803392573376;7209.644925942619;26781.448318515995
784.6492219164459;17879.54545617328;8905.26719222782;26784.8126484011
716.8052503393495;16163.383715808828;10624.840784954633;26788.224500763463
648.002956179236;14477.691398712332;12313.884379032317;26791.57577774465
580.4222055212668;12875.876368025401;13918.883932650924;26794.760300676324
516.2041622335701;11408.688999176933;15388.988174991813;26797.677174168748
457.38344938043423;10122.61425353795;16677.619729265974;26800.233982803926
405.8236861715449;9058.398893337053;17743.950825770793;26802.349719107846
363.15844283224067;8249.760500211847;18554.196849899443;26803.95735011129
330.7394841266663;7722.319199615323;19082.686741550115;26805.005941165437
309.5939413364346;7492.785937268185;19312.676332449944;26805.46226971813
300.3917696156127;7568.433025527848;19236.878852364538;26805.311877892385
303.4245217719987;7946.863734400475;18857.695796161017;26804.55953056149
318.5961109868622;8616.08822724678;18187.140837133422;26803.229064380204
345.42585513800856;9554.903435285934;17246.459197277134;26801.36263256307
383.06370627188875;10733.5648353529;16065.45453399108;26799.01936934398
430.31718271016257;12114.728846927863;14681.54466950247;26796.27351643033
485.68915049891103;13654.635990443136;13138.5760803705;26793.212070813635
547.42525716966;15304.497320745802;11485.43470765632;26789.932028402123
613.5695149636683;17012.04020939823;9774.49710153096;26786.53731092919
682.026272478333;18723.164500632083;8059.970972742308;26783.13547337439
750.6266112814727;20383.65656894171;6396.177727363256;26779.834296304965
817.1970638485557;21940.906971752;4835.831399306195;26776.738371058193
879.628475629333;23345.577276649918;3428.368509296913;26773.94578594683
935.9428294821575;24553.16325316282;2218.381765427886;26771.545018590707
984.3559152802505;25525.404902171264;1244.2072304449093;26769.612132616174
1023.3338591164691;26231.49864912111;536.7097186018942;26768.208367723004
1051.6417210968575;26649.07329504758;118.30490440511814;26767.378199452698
1068.3826219962896;26764.898804225177;2.249125820385309;26767.14793004556
1073.0261591211702;26575.30547201251;192.21938313919998;26767.52485515171
1065.4252110829498;26086.3001922289;682.1968404185267;26768.49703264743
1045.8205990500678;25313.376140439574;1456.6575205221739;26770.033660961748
1014.8334567989285;24281.02190309694;2491.0641519643455;26772.086055061285
973.4455513093191;23021.945604503268;3752.6435843546296;26774.5891888579
922.9681773949745;21576.038613875542;5201.425141546376;26777.46375542192
865.0006118925488;19989.11166544961;6791.507014312476;26780.618679762087
801.3794437076521;18311.44343490299;8472.510569371585;26783.954004274576
734.120385084988;16596.18755789784;10191.176497816488;26787.36405571433
665.3544077100875;14897.688561164601;11893.05223212377;26790.740793288373
597.2602270420807;13269.760062431465;13524.217169223984;26793.97723165545
531.9952739743802;11763.979791289623;15032.99103931286;26796.970830602484
471.62734086010664;10428.055449703095;16371.57129410384;26799.626743806934
418.0690675554164;9304.313186815401;17497.547637034706;26801.860823850107
373.0173431678703;8428.35657772878;18375.245710557196;26803.602288285976
337.8995434451737;7827.938593862228;18976.85736835054;26804.795962212767
313.8283071663391;7522.082304369195;19283.321722038345;26805.40402640754
301.5662843595892;7520.478167403508;19284.92904814255;26805.407215546056
301.5019732280738;7823.177006904585;18981.62842168245;26804.805428587035
313.6374113440961;8420.588402350118;18383.02932962649;26803.617731976607
337.5881110930129;9293.784542462625;17508.0972130962;26801.881755558825
372.5952414108919;10415.099915869116;16384.552584477104;26799.65250034622
417.5496698617832;11749.007838712108;15047.99275721096;26797.00059592307
471.02710332936516;13253.246048135892;13540.764014564855;26794.01006270075
531.3332139583545;14880.155699384166;11910.61995048638;26790.775649870546
596.5573206170546;16578.1913430645;10209.20849041458;26787.39983347908
664.6329250912819;18293.554041882202;8490.435527796843;26783.989569679045
733.4031850379221;19971.89588465772;6808.757021325155;26780.652905982875
800.689249312578;21560.041893615624;5217.4536644225645;26777.495558038187
864.3592906073615;23007.67476956568;3766.94279070797;26774.61756027365
922.3960482301105;24268.929097001703;2503.180999415592;26772.110096417295
972.9607410594361;25303.844500076637;1466.2081104646402;26770.052610541275
1014.4513257277978;26079.631708981207;688.8785810949267;26768.510290076134
1045.5532542333071;26571.711423715682;195.82057666805213;26767.532000383733
1065.2811228176495;26764.49306124685;2.655675430513243;26767.14873667736
1073.00989256127;26651.868712586805;115.50392936728856;26767.372641954094
1068.4946925169816;26237.4066598479;530.7899623303543;26768.196622178253
1051.8785779631803;25534.23832231342;1235.3562488356933;26769.594571149115
1023.687997981569;24564.64221307876;2206.8799845172503;26771.522197596012
984.8161159467803;23359.338087951237;3414.580340510275;26773.91842846151
936.4945113922986;21956.513650041343;4820.193693796205;26776.70734383755
880.2541598205548;20400.614647158607;6379.185935232647;26779.800582391254
817.8769267416774;18740.936695250955;8042.163445682037;26783.10014093299
751.339112751048;17030.06344319938;9756.438036194562;26786.50147939394
682.7488383091268;15322.20056282312;11467.696270197257;26789.89683302038
614.2792520708088;13671.458348214326;13121.720278471805;26793.17862668613
548.0996789217696;0.0;14666.105546271276;14666.105546271276
