Temperature;Kinetic energy;Potential energy;Total energy
300.0000000000003;7483.013879031484;19322.46781818515;26805.481697216634
306.1236681654494;7635.758858606946;19169.419170661466;26805.178029268413
324.30065621639295;8089.1543714876125;18715.122275050857;26804.27664653847
353.9550618481196;8828.835467876412;17973.97063970664;26802.806107583052
394.1473432344333;9831.366799355492;16969.446204191627;26800.81300354712
443.6040865722809;11064.985122051527;15733.375359982425;26798.360482033953
500.7583517067792;12490.605652875845;14304.920593511571;26795.526246387417
563.7993175644401;14063.0603944106;12729.339699408047;26792.400093818647
630.7296544761731;15732.529194539768;11056.551875816656;26789.081070356424
699.4288056602533;17446.11820050028;9339.556132268312;26785.67433276859
767.7201729152724;19149.53569712476;7632.752119745311;26782.28781687007
833.4400778758222;20788.81223361951;5990.216584172837;26779.028817792347
894.5063139284582;22312.010540026462;4463.990050517254;26776.000590543714
948.9841168545753;23670.871058010714;3102.428020569149;26773.299078579865
995.1474640494978;24822.340950551228;1948.6689234703815;26771.00987402161
1031.5337601718866;25729.93814685251;1039.2673589854494;26769.20550583796
1056.9901766156968;26364.907205383966;403.0359365204368;26767.943141904405
1070.7101766291617;26707.130373787535;60.13240396532133;26767.262777752858
1072.259068853823;26745.76498050175;21.420988887837026;26767.185969389586
1061.58777966981;26479.58696359799;288.1281867398327;26767.715150337823
1039.0344079974761;25917.02965278789;851.8039017464536;26768.833554534343
1005.3135132945667;25075.91657587046;1694.5891716606802;26770.50574753114
961.4934761377742;23982.896755123948;2789.7819940384716;26772.67874916242
908.9626486743597;22672.600385171485;4102.683326954369;26775.283712125853
849.3853674005509;21186.541643015236;5591.696460246987;26778.23810326222
784.6492219157954;19571.80339255715;7209.6449259147985;26781.44831847195
716.8052503391859;17879.5454561692;8905.267192197165;26784.812648366365
648.0029561793496;16163.383715811658;10624.840784924096;26788.224500735756
580.4222055210996;14477.69139870816;12313.884378997867;26791.575777706028
516.2041622332425;12875.876368017232;13918.883932612966;26794.760300630198
457.3834493803883;11408.688999175787;15388.98817495298;26797.677174128767
405.8236861717157;10122.614253542208;16677.619729229653;26800.23398277186
363.15844283234486;9058.39889333965;17743.950825737254;26802.349719076905
330.73948412668705;8249.760500212366;18554.196849866137;26803.957350078505
309.5939413364842;7722.31919961656;19082.686741515827;26805.005941132385
300.39176961564897;7492.78593726909;19312.676332418752;26805.462269687843
303.4245217719151;7568.433025525764;19236.878852338577;26805.31187786434
318.59611098652556;7946.863734392078;18857.695796136166;26804.559530528244
345.425855137096;8616.088227224018;18187.140837113304;26803.22906433732
383.063706270252;9554.903435245107;17246.459197268206;26801.362632513315
430.31718270799416;10733.564835298812;16065.454533993166;26799.01936929198
485.68915049666555;12114.728846871853;14681.54466951464;26796.273516386493
547.4252571672803;13654.635990383778;13138.576080389565;26793.21207077334
613.5695149612542;15304.497320685587;11485.434707684211;26789.932028369796
682.0262724758177;17012.04020933549;9774.497101563193;26786.537310898682
750.6266112787614;18723.164500564457;8059.970972778777;26783.135473343234
817.197063845653;20383.656568869308;6396.177727400286;26779.834296269593
879.6284756261547;21940.90697167272;4835.831399343269;26776.738371015992
935.9428294795684;23345.577276585336;3428.3685093300046;26773.94578591534
984.355915278137;24553.163253110106;2218.381765456383;26771.54501856649
1023.3338591142889;25525.404902116883;1244.207230467502;26769.612132584385
1051.6417210945012;26231.498649062338;536.7097186178544;26768.208367680192
1068.3826219937869;26649.073294985155;118.3049044132809;26767.378199398438
1073.0261591192555;26764.89880417742;2.2491258191683756;26767.14792999659
1065.425211081752;26575.305471982636;192.21938312750197;26767.52485511014
1045.8205990492615;26086.30019220879;682.1968403957662;26768.497032604555
1014.833456799319;25313.376140449316;1456.657520489475;26770.033660938792
973.4455513104916;24281.021903126184;2491.0641519228784;26772.08605504906
922.9681773963968;23021.94560453874;3752.643584303487;26774.589188842227
865.0006118949473;21576.038613935365;5201.425141489986;26777.46375542535
801.3794437106085;19989.111665523356;6791.507014251257;26780.618679774612
734.1203850880713;18311.443434979898;8472.510569308566;26783.954004288462
665.3544077133522;16596.187557979272;10191.176497752898;26787.36405573217
597.2602270449695;14897.688561236657;11893.052232063494;26790.740793300152
531.9952739771101;13269.760062499558;13524.217169168882;26793.97723166844
471.6273408625771;11763.979791351245;15032.991039268036;26796.97083061928
418.06906755754653;10428.055449756228;16371.571294070058;26799.626743826288
373.01734316962876;9304.313186859263;17497.547637015257;26801.860823874522
337.8995434463186;8428.356577757339;18375.245710545933;26803.60228830327
313.82830716695844;7827.938593877677;18976.857368350422;26804.795962228098
301.5662843597983;7522.082304374411;19283.321722049262;26805.404026423676
301.5019732279115;7520.47816739946;19284.929048161295;26805.407215560757
313.63741134369263;7823.177006894521;18981.628421705365;26804.805428599888
337.5881110923598;8420.588402333828;18383.029329656947;26803.617731990773
372.5952414098218;9293.784542435933;17508.097213135527;26801.88175557146
417.5496698603476;10415.099915833305;16384.552584523346;26799.65250035665
471.0271033278738;11749.00783867491;15047.992757264641;26797.00059593955
531.3332139568886;13253.246048099327;13540.764014621127;26794.010062720452
596.5573206157221;14880.15569935093;11910.619950546787;26790.775649897718
664.6329250901264;16578.191343035676;10209.20849047197;26787.399833507647
733.4031850362702;18293.554041841;8490.435527853018;26783.989569694015
800.6892493107424;19971.89588461193;6808.757021379213;26780.652905991145
864.3592906062808;21560.041893588666;5217.453664472741;26777.495558061408
922.3960482292763;23007.67476954487;3766.9427907520308;26774.617560296898
972.9607410582736;24268.929096972704;2503.1809994521677;26772.110096424873
1014.4513257263623;25303.844500040832;1466.2081104939866;26770.052610534818
1045.5532542310175;26079.6317089241;688.8785811155255;26768.510290039623
1065.2811228157664;26571.711423668712;195.82057667985515;26767.53200034857
1073.0098925603443;26764.493061223762;2.655675431934901;26767.148736655698
1068.4946925160575;26651.86871256376;115.5039293576754;26767.372641921433
1051.878577962711;26237.406659836197;530.7899623090664;26768.196622145264
1023.6879979819678;25534.238322323366;1235.3562488025218;26769.59457112589
984.8161159481178;24564.642213112125;2206.879984472805;26771.52219758493
936.4945113939729;23359.338087992997;3414.580340457657;26773.918428450655
880.2541598228478;21956.513650098535;4820.1936937365335;26776.70734383507
817.8769267449663;20400.614647240644;6379.185935169622;26779.800582410266
751.3391127548241;18740.936695345146;8042.163445619394;26783.10014096454
682.7488383133018;17030.063443303516;9756.438036136564;26786.501479440078
614.2792520752386;15322.200562933616;11467.69627014454;26789.896833078157
548.0996789258596;13671.458348316346;13121.720278429522;26793.178626745866
486.3068891658722;12130.137336989477;14666.105546240831;26796.24288323031
